"appid","time0","grade","reviews"
"313374",1416873600,25,5
"313375",1418083200,77,18
"313380",1421107200,80,5
"313381",1415664000,35,40
"313660",1414972800,70,17
"313680",1417392000,100,1
"313690",1414713600,85,738
"313800",1428883200,100,2
"241680",1418688000,0,1
"314010",1416787200,91,216
"314150",1421280000,61,259
"314160",1418860800,79,2431
"314220",1416528000,75,48
"314300",1416787200,53,43
"314410",1427155200,98,72
"314450",1417392000,87,8
"314520",1415059200,71,225
"314530",1422921600,70,20
"314590",1431388800,100,10
"314660",1422835200,93,698
"314830",1419206400,69,196
"315050",1415232000,88,9
"315060",1422576000,100,5
"315080",1416355200,80,25
"315130",1422144000,75,8
"315320",1416960000,37,74
"315392",1429574400,43,16
"315393",1423699200,85,35
"315394",1421712000,51,60
"315395",1426550400,54,11
"315396",1416614400,81,82
"315397",1422316800,33,24
"315450",1417392000,77,22
"315460",1424649600,95,573
"315660",1418601600,41,70
"315840",1424131200,96,161
"315880",1426550400,59,576
"316080",1427155200,100,21
"316160",1415059200,50,22
"316240",1424822400,23,26
"244160",1422144000,86,2606
"316390",1419897600,48,3093
"316410",1427155200,93,259
"316430",1416528000,84,466
"316610",1424304000,95,42
"316790",1421884800,89,834
"316920",1415232000,100,2
"316930",1417651200,79,251
"244770",1417651200,77,962
"316960",1418342400,80,10
"316962",1427846400,80,5
"316963",1421020800,66,6
"316967",1425945600,100,2
"317040",1418169600,95,128
"317100",1423180800,90,105
"317460",1414713600,88,42
"317461",1414713600,80,36
"317462",1414713600,91,46
"317530",1416355200,81,32
"317620",1414800000,86,297
"317750",1414713600,32,31
"317770",1417824000,100,8
"317790",1417996800,93,92
"317840",1417651200,68,19
"330000",1421884800,56,86
"330070",1423094400,90,54
"330110",1428537600,100,5
"330130",1417651200,0,1
"330160",1425945600,85,7
"330180",1422489600,97,35
"330210",1423699200,53,75
"330230",1416960000,100,1
"330240",1416960000,50,2
"330260",1415923200,92,13
"330270",1425600000,83,107
"330350",1416355200,35,324
"330370",1423440000,96,29
"330450",1419206400,72,18
"330460",1416528000,90,43
"330470",1415664000,73,57
"330491",1414627200,100,6
"330520",1414627200,70,10
"330620",1416268800,79,87
"330630",1414713600,0,1
"330631",1414713600,66,3
"330650",1416009600,85,7
"330660",1426809600,90,10
"330680",1416182400,23,17
"330700",1414713600,82,80
"330710",1415145600,96,2307
"330720",1416268800,92,42
"330730",1416528000,90,11
"330750",1414972800,52,21
"330760",1424390400,63,610
"330770",1416873600,93,49
"330810",1414627200,100,1
"330830",1415836800,93,2127
"330840",1416441600,88,2577
"330860",1414713600,85,56
"330990",1416960000,59,49
"318060",1414972800,0,1
"318072",1417046400,100,4
"318130",1426204800,98,253
"318230",1417651200,86,183
"318260",1419897600,77,54
"246110",1415664000,79,274
"318300",1424736000,0,3
"318330",1417737600,92,42
"318390",1418688000,63,63
"318410",1417478400,45,12
"318411",1422316800,66,6
"318412",1416268800,23,35
"318414",1418083200,26,15
"318420",1424736000,68,103
"318480",1424649600,100,14
"318490",1427846400,100,1
"318520",1417564800,100,86
"318560",1429660800,50,2
"318650",1418256000,81,32
"318690",1417392000,60,121
"318790",1426118400,66,18
"318791",1425340800,52,261
"318792",1430352000,61,59
"318850",1427241600,53,15
"318860",1415923200,81,22
"318870",1421107200,100,1
"318871",1421107200,100,2
"318872",1421107200,50,2
"318874",1421107200,100,2
"318875",1422921600,100,1
"318970",1425340800,92,83
"331060",1421280000,50,12
"331061",1421280000,81,16
"331062",1421280000,75,4
"331063",1421280000,100,5
"331064",1421280000,41,12
"331065",1421280000,59,27
"331066",1421280000,16,7
"331067",1421280000,66,3
"331068",1421280000,83,6
"331069",1421280000,90,11
"331070",1421280000,37,8
"331071",1421280000,50,6
"331072",1421280000,28,14
"331120",1416528000,72,488
"331130",1415836800,100,3
"331160",1424736000,37,8
"331180",1429833600,100,12
"331181",1429833600,100,18
"331200",1415750400,45,241
"331220",1417392000,73,76
"331260",1416960000,75,4
"331270",1414713600,66,3
"331290",1415664000,75,8
"331300",1419206400,0,1
"331310",1414972800,71,7
"331330",1427760000,47,74
"331340",1421366400,82,28
"331350",1418688000,100,1
"331352",1418688000,100,2
"331354",1418688000,100,2
"331355",1418688000,100,2
"331358",1418688000,100,1
"331390",1414972800,95,74
"331400",1416268800,20,35
"331440",1416268800,78,377
"331450",1424736000,100,2
"331460",1427068800,100,23
"331470",1416268800,93,6301
"331490",1415059200,100,1
"331491",1414972800,0,1
"331492",1414972800,50,4
"102810",1418256000,79,59
"331500",1425513600,87,32
"331510",1415232000,92,25
"331520",1421366400,100,1
"331580",1416355200,44,9
"331610",1418688000,44,18
"331620",1415750400,100,1
"331650",1417651200,66,113
"331660",1415318400,47,17
"331670",1416960000,87,233
"331710",1415404800,43,66
"331720",1415664000,92,81
"331740",1416268800,100,2
"331750",1424736000,85,7
"331760",1421107200,75,24
"331790",1422921600,100,10
"331800",1416355200,100,9
"331880",1429228800,68,25
"331890",1416873600,0,1
"331891",1415232000,33,3
"331900",1415836800,90,456
"331910",1417132800,71,7
"331920",1415923200,61,60
"331930",1423180800,100,6
"331970",1424736000,94,18
"331980",1418256000,70,74
"319000",1422576000,100,5
"319010",1422576000,100,4
"319011",1422576000,100,2
"319013",1422576000,100,7
