"appid","query_date","grade","reviews","bundles"
"203341","2014-10-29",0,2,
"203342","2014-10-29",0,2,
"203343","2014-10-29",0,4,
"203344","2014-10-29",66,3,
"203345","2014-10-29",66,3,
"203350","2014-10-29",82,391,
"203358","2014-10-29",50,8,
"203510","2014-10-29",90,377,
"203530","2014-10-29",0,0,
"203560","2014-10-29",81,184,
"360010","2015-04-27",100,3,
"360030","2015-05-25",50,2,
"360090","2015-04-07",66,3,
"360091","2015-04-07",0,1,
"360092","2015-04-07",0,0,
"360093","2015-04-07",0,0,
"360094","2015-04-07",0,0,
"360095","2015-04-07",0,0,
"360096","2015-04-07",0,0,
"360097","2015-04-07",0,0,
"360098","2015-04-07",0,0,
"360099","2015-04-07",0,0,
"203630","2014-10-29",86,1496,
"203650","2014-10-29",83,350,
"203670","2014-10-29",0,0,
"203680","2014-10-29",83,248,
"360110","2015-04-07",0,0,
"360111","2015-04-07",0,0,
"360112","2015-04-07",0,0,
"360113","2015-04-07",0,0,
"360114","2015-04-07",0,1,
"360115","2015-04-07",100,1,
"360120","2015-04-07",0,0,
"360130","2015-04-08",80,10,
"360140","2015-04-23",0,0,
"203700","2014-10-29",100,3,
"203701","2014-10-29",66,9,
"203702","2014-10-29",100,3,
"203730","2014-10-29",92,955,
"203733","2014-10-29",100,1,
"203750","2014-10-29",89,1842,
"203765","2014-10-29",66,3,
"203766","2014-10-29",100,1,
"203770","2014-10-29",93,11183,
"203772","2014-10-29",75,4,
"203773","2014-10-29",86,15,
"203774","2014-10-29",50,4,
"203775","2014-10-29",75,4,
"203776","2014-10-29",75,12,
"203777","2014-10-29",66,3,
"203778","2014-10-29",77,18,
"360240","2015-04-09",100,1,
"360290","2015-05-16",0,0,
"203810","2014-10-29",76,4540,
"203830","2014-10-29",89,532,
"360350","2015-05-19",80,5,
"360360","2015-05-15",0,0,
"360380","2015-04-23",66,12,
"360390","2015-04-02",100,10,
"203970","2014-10-29",75,8,
"203990","2014-10-29",89,166,
"360420","2015-04-07",0,0,
"360421","2015-04-07",0,0,
"360422","2015-04-07",0,0,
"360423","2015-04-08",0,0,
"360424","2015-04-07",0,0,
"360425","2015-04-07",0,0,
"360426","2015-04-07",0,0,
"360427","2015-04-07",0,0,
"360428","2015-04-07",0,0,
"360450","2015-04-16",83,49,
"360480","2015-05-04",75,280,
"360520","2015-04-01",100,3,
"360530","2015-04-13",100,4,
"360590","2015-05-13",72,11,
"360600","2015-03-31",66,9,
"360680","2015-05-12",0,0,
"360720","2015-04-18",0,1,
"360750","2015-04-20",75,8,
"360770","2015-05-18",0,0,
"360790","2015-05-18",0,0,
"360820","2015-04-01",94,18,
"360870","2015-04-06",80,638,
"360880","2015-05-07",0,0,
"360890","2015-04-20",48,45,
"360920","2015-05-13",0,0,
"360960","2015-04-13",96,491,
"348000","2015-02-05",25,8,
"348010","2015-02-04",100,1,
"348020","2015-03-27",71,353,
"348030","2015-05-21",0,0,
"348040","2015-03-09",99,303,
"348070","2015-03-06",0,0,
"348090","2015-02-05",91,493,
"348091","2015-02-05",68,278,
"348100","2015-02-05",0,0,
"348110","2015-02-09",0,0,
"348160","2015-03-26",0,0,
"348180","2015-03-12",68,16,
"348200","2015-04-07",88,43,
"276050","2014-10-29",85,7,
"276051","2014-10-29",0,0,
"348270","2015-02-25",58,67,
"348290","2015-03-25",47,48,
"348300","2015-04-17",0,0,
"348310","2015-02-05",0,0,
"348320","2015-02-18",0,0,
"348330","2015-02-10",92,53,
"348350","2015-05-22",51,31,
"276190","2014-10-29",100,1,
"348370","2015-05-13",0,0,
"348380","2015-02-04",29,107,
"276210","2014-10-29",100,10,
"276220","2014-10-29",79,24,
"348400","2015-03-25",81,11,
"276240","2014-10-29",75,8,
"348430","2015-05-08",100,2,
"348440","2015-05-08",100,2,
"348450","2015-02-09",54,59,
"92000","2014-10-29",63,1430,
"276300","2014-10-29",42,7,
"276340","2014-10-29",84,25,
"348530","2015-03-23",66,9,
"276360","2014-10-29",50,12,
"348550","2015-05-22",0,0,
"276380","2014-10-29",40,5,
"348560","2015-02-07",100,8,
"348561","2015-02-18",92,13,
"92100","2014-10-29",42,22,
"276430","2014-10-29",57,7,
"348610","2015-02-06",40,5,
"276440","2014-10-29",40,32,
"348620","2015-03-26",93,459,
"276460","2014-10-29",33,6,
"348650","2015-02-06",61,18,
"348670","2015-03-12",71,45,
"348680","2015-02-27",50,2,
"348681","2015-03-10",100,3,
"348682","2015-04-21",100,1,
"348683","2015-04-21",100,3,
"348684","2015-04-07",100,1,
"348685","2015-04-07",100,1,
"348686","2015-03-24",0,1,
"348687","2015-05-05",100,4,
"348690","2015-02-13",100,2,
"92200","2014-10-29",92,96,
"92210","2014-10-29",86,107,
"92220","2014-10-29",87,95,
"92230","2014-10-29",80,5,
"92240","2014-10-29",100,2,
"92250","2014-10-29",75,4,
"348700","2015-03-18",53,71,
"276550","2014-10-29",100,4,
"276551","2014-10-29",0,0,
"276552","2014-10-29",60,5,
"348730","2015-04-24",66,15,
"348750","2015-02-24",100,3,
"348760","2015-02-21",85,7,
"348790","2015-02-11",93,16,
"92300","2014-10-29",70,592,
"92302","2014-10-29",100,9,
"92303","2014-10-29",80,5,
"92310","2014-10-29",100,2,
"348840","2015-05-22",0,0,
"348850","2015-02-24",0,0,
"348860","2015-02-20",100,5,
"348870","2015-02-11",80,15,
"92400","2014-10-29",75,45,
"276730","2014-10-29",68,25,
"348920","2015-02-13",100,2,
"276750","2014-10-29",70,34,
"348960","2015-02-23",87,8,
"348970","2015-02-26",100,1,
"348980","2015-02-16",50,6,
"348990","2015-03-20",90,20,
"92500","2014-10-29",70,198,
"92502","2014-10-29",100,6,
"92503","2014-10-29",100,1,
"92504","2014-10-29",100,1,
"92505","2014-10-29",0,0,
"92506","2014-10-29",0,0,
"92507","2014-10-29",33,6,
"92508","2014-10-29",0,0,
"276810","2014-11-17",82,700,
"276870","2014-10-29",86,84,
"276890","2014-10-29",79,67,
"92600","2014-10-29",83,96,
"92620","2014-10-29",100,1,
"92621","2014-10-29",0,0,
"92622","2014-10-29",0,0,
"92700","2014-10-29",42,61,
"92800","2014-10-29",90,2577,
"92803","2014-10-29",88,9,
