"appid","query_date","grade","reviews","bundles"
"366590","2015-04-30",0,0,
"366610","2015-04-24",42,7,
"366650","2015-05-06",0,0,
"366660","2015-05-21",73,192,
"366670","2015-05-04",50,4,
"366700","2015-04-24",33,3,
"366710","2015-05-13",0,0,
"366730","2015-05-22",0,0,
"366740","2015-05-22",0,0,
"366800","2015-04-30",90,61,
"366820","2015-05-07",0,0,
"366843","2015-04-27",0,0,
"366890","2015-05-21",0,8,
"366900","2015-04-30",0,0,
"366990","2015-04-30",100,2,
"294810","2014-11-18",94,386,
"294860","2014-10-30",94,3107,
"222180","2015-03-10",90,11,
"222420","2014-11-27",73,400,
"222440","2015-01-30",91,175,
"222621","2014-12-12",0,0,
"222631","2014-11-20",45,20,
"222633","2015-04-09",100,3,
"222638","2014-11-13",0,0,
"222804","2015-03-24",88,9,
"222805","2015-03-24",60,5,
"222806","2015-03-24",100,4,
"222807","2015-03-24",100,8,
"367000","2015-05-12",76,26,
"367030","2015-05-08",90,11,
"367040","2015-04-27",0,2,
"367060","2015-05-01",60,5,
"367090","2015-05-01",0,0,
"367110","2015-05-15",78,32,
"367150","2015-04-28",0,0,
"367180","2015-05-12",100,1,
"367190","2015-05-01",0,0,
"295040","2014-10-30",0,0,
"295041","2014-11-04",0,0,
"295042","2014-11-04",0,0,
"295043","2014-11-04",100,1,
"295044","2014-11-04",100,1,
"295045","2014-11-11",0,0,
"295046","2014-11-11",0,0,
"295047","2014-11-11",0,0,
"295048","2014-11-11",0,0,
"295049","2014-11-11",0,0,
"367220","2015-05-12",0,3,
"295050","2014-11-11",0,0,
"295051","2014-11-25",100,1,
"295052","2014-11-25",0,0,
"295053","2014-11-25",0,0,
"295054","2014-11-25",0,0,
"295055","2014-11-25",0,0,
"295056","2014-11-25",75,4,
"295057","2014-12-03",100,1,
"295058","2014-12-03",0,0,
"295059","2014-12-03",0,0,
"295060","2014-12-03",0,0,
"295061","2014-12-03",0,0,
"295062","2014-12-03",0,0,
"295063","2014-12-10",0,0,
"295064","2014-12-10",0,0,
"295065","2014-12-09",0,0,
"295066","2014-12-10",0,0,
"295067","2014-12-09",0,0,
"295068","2014-12-10",0,0,
"295069","2014-12-09",100,3,
"295070","2014-12-16",0,0,
"295071","2014-12-16",0,0,
"295072","2014-12-16",0,0,
"295073","2014-12-16",100,1,
"295074","2014-12-16",0,0,
"295075","2014-12-16",0,0,
"295076","2014-12-16",0,0,
"295077","2014-12-16",0,0,
"295078","2014-12-16",0,0,
"295079","2014-12-16",0,0,
"367250","2015-04-30",0,0,
"295080","2014-12-16",0,0,
"295081","2014-12-16",0,0,
"295082","2014-12-16",0,0,
"295083","2014-12-16",100,1,
"295084","2014-12-16",33,3,
"295085","2014-12-16",0,0,
"295086","2014-12-16",100,4,
